,Details_ID,Skills
256,Det_257,VMware ESX
256,Det_257,VMware vSphere
257,Det_258,Microservices
257,Det_258,Angular
258,Det_259,DevOps
258,Det_259,AWS
258,Det_259,Cloud Computing
258,Det_259,Kubernetes
258,Det_259,Deployment
259,Det_260,Customer Interaction
259,Det_260,Customer Service
259,Det_260,Freshdesk
259,Det_260,Microsoft Excel
259,Det_260,Zendesk
260,Det_261,Salesforce
260,Det_261,Visualforce
261,Det_262,Deployment
261,Det_262,DevOps
261,Det_262,AWS
261,Det_262,Kubernetes
261,Det_262,Cloud Computing
262,Det_263,Corporate Sales
262,Det_263,NBFC
262,Det_263,Lead Generation
262,Det_263,Business Development
262,Det_263,Key Account Management
263,Det_264,Angular
263,Det_264,JavaScript
263,Det_264,HTML
263,Det_264,CSS
263,Det_264,Google Cloud
264,Det_265,Brand Management
264,Det_265,Digital Marketing
264,Det_265,Social Media Marketing
264,Det_265,Facebook Marketing
264,Det_265,Marketing Communication
265,Det_266,Golang
265,Det_266,Python
266,Det_267,Business Development
266,Det_267,Corporate Sales
266,Det_267,Direct Sales
266,Det_267,Sales
267,Det_268,Angular
267,Det_268,C++
267,Det_268,Java
267,Det_268,JavaScript
267,Det_268,Node.js
267,Det_268,React.js
267,Det_268,jQuery
268,Det_269,Java
268,Det_269,C++
268,Det_269,Golang
268,Det_269,Scala
269,Det_270,SAP ERP
270,Det_271,Business Development
270,Det_271,Direct Sales
270,Det_271,Sales
270,Det_271,Telecalling
271,Det_272,Instructional Design
272,Det_273,Financial Planning
272,Det_273,Budgeting
272,Det_273,Risk Management
272,Det_273,Compliance Management
273,Det_274,Education Counselling
273,Det_274,Sales
274,Det_275,Java
274,Det_275,J2EE
274,Det_275,Spring Boot
274,Det_275,Microservices
275,Det_276,Machine Learning
275,Det_276,NLP
275,Det_276,Data Collection
276,Det_277,Bash
277,Det_278,Java
277,Det_278,Spring Boot
277,Det_278,AWS
277,Det_278,Microservices
278,Det_279,Asset Management
278,Det_279,PowerShell
279,Det_280,Automation Testing
279,Det_280,QTP
280,Det_281,ServiceNow
280,Det_281,Workflow Management
281,Det_282,JavaScript
281,Det_282,Microservices
281,Det_282,Spring Boot
281,Det_282,AWS
281,Det_282,Python
282,Det_283,Data Warehousing
282,Det_283,ETL
282,Det_283,SQL
282,Det_283,Snowflake
283,Det_284,Accounting
283,Det_284,Auditing
283,Det_284,Chartered Accountant
283,Det_284,Direct Taxation
283,Det_284,Financial Analysis
283,Det_284,GST
283,Det_284,Income Tax
283,Det_284,Indirect Taxation
283,Det_284,NetSuite
283,Det_284,SEZ
283,Det_284,STPI
283,Det_284,TDS
283,Det_284,Taxation
284,Det_285,Content Marketing
284,Det_285,Content Writing
284,Det_285,English Content
285,Det_286,Customer Interaction
285,Det_286,Customer Relationship
285,Det_286,Escalation Management
285,Det_286,Google Data Studio
285,Det_286,Microsoft Excel
285,Det_286,SQL
286,Det_287,Google Ads
286,Det_287,SEM
286,Det_287,SEO
287,Det_288,Business Development
287,Det_288,Corporate Sales
287,Det_288,International Sales
287,Det_288,Sales
